Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
4128000,1.25706,0.31384307,450.7826086956522,0.104531266,0.02080409,0.00029752645,0.19917548,0.0009918372,1.1932571501958937,1.1932571501958937,1.0
4140000,1.2562394,0.32705423,485.95454545454544,0.12834685,0.02169017,0.00029751981,0.19917327,0.0009918154,1.4725760191679,1.4725760191679,1.0
4152000,1.2566185,0.30098206,478.2258064516129,0.11262739,0.017998425,0.0002975126,0.19917087,0.0009917916,1.814165524624545,1.814165524624545,1.0
4164000,1.2569414,0.41061532,470.0,0.116771944,0.019308476,0.00029750526,0.19916843,0.0009917674,1.3376692416003118,1.3376692416003118,1.0
4176000,1.2578372,0.31585154,459.2,0.112327635,0.014061459,0.00029749813,0.19916604,0.0009917438,1.4091545638035645,1.4091545638035645,1.0
4188000,1.258693,0.3309165,473.86206896551727,0.1275654,0.016005427,0.00029749106,0.19916368,0.0009917204,1.5375241421419998,1.5375241421419998,1.0
4200000,1.2588404,0.32899457,448.64,0.11468073,0.014722854,0.00029748384,0.19916128,0.0009916967,1.0327615454219854,1.0327615454219854,1.0
4212000,1.2590367,0.33217496,455.73333333333335,0.14468554,0.015168828,0.00029747665,0.19915889,0.0009916729,1.3824500015803747,1.3824500015803747,1.0
4224000,1.2579463,0.29188243,481.6,0.10070245,0.015327312,0.00029746935,0.19915645,0.0009916489,1.7711636562916366,1.7711636562916366,1.0
4236000,1.2573768,0.36148125,458.85185185185185,0.13945848,0.0146834,0.000297462,0.19915402,0.0009916245,1.4377709567066161,1.4377709567066161,1.0
4248000,1.2571994,0.35899964,440.26666666666665,0.13342395,0.016190972,0.0002974547,0.19915156,0.0009916004,1.1569960030913353,1.1569960030913353,1.0
4260000,1.2577065,0.33564833,440.4,0.15933916,0.01652995,0.00029744764,0.1991492,0.0009915772,1.0026312654372305,1.0026312654372305,1.0
4272000,1.2583574,0.2836234,456.8,0.080294795,0.015056259,0.0002974403,0.19914675,0.000991553,1.4828411884167616,1.4828411884167616,1.0
