Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2172000,1.3131474,0.27580327,0.040465,0.02249907,0.00029870082,0.19956695,0.0009957127,938.9,2.493817133208116,2.493817133208116,1.0
2184000,1.3137494,0.28735507,0.08117526,0.016438626,0.00029869346,0.19956449,0.0009956883,995.5,4.047976994777427,4.047976994777427,1.0
2196000,1.314155,0.4000572,0.08879284,0.015787274,0.0002986862,0.19956207,0.0009956644,1019.3,4.083867099825983,4.083867099825983,1.0
2208000,1.3147367,0.50224584,0.06535436,0.017751774,0.00029867908,0.19955969,0.000995641,1013.7777777777778,4.171391399746591,4.171391399746591,1.0
2220000,1.3151618,0.43805042,0.04577546,0.018473484,0.00029867142,0.19955713,0.0009956156,1011.5,2.5656503128508725,2.5656503128508725,1.0
2232000,1.3152783,0.37728575,0.06800374,0.020255448,0.00029866444,0.19955482,0.0009955927,1031.4666666666667,3.896783680965503,3.896783680965503,1.0
2244000,1.3156444,0.40630543,0.062256005,0.01643814,0.00029865713,0.19955237,0.0009955686,979.7692307692307,3.866857589355537,3.866857589355537,1.0
2256000,1.3162504,0.3810756,0.046266798,0.0134069845,0.00029864974,0.1995499,0.0009955441,865.6666666666666,2.3470628587529063,2.3470628587529063,1.0
2268000,1.3157213,0.32513753,0.04294495,0.023979286,0.00029864267,0.19954757,0.0009955207,994.2857142857143,2.002260348200798,2.002260348200798,1.0
2280000,1.314536,0.32052812,0.0668808,0.022605306,0.0002986358,0.19954526,0.0009954982,1004.5833333333334,3.864000448158809,3.864000448158809,1.0
2292000,1.3136547,0.3496491,0.07002979,0.013315202,0.00029862853,0.19954285,0.000995474,1035.2941176470588,3.5756217730896815,3.5756217730896815,1.0
2304000,1.31291,0.45129302,0.11372746,0.0156058585,0.0002986209,0.1995403,0.000995449,1016.0,3.9758311796646852,3.9758311796646852,1.0
2316000,1.3122475,0.43621385,0.044773463,0.018553454,0.00029861365,0.19953789,0.0009954249,1024.25,3.4963803932070734,3.4963803932070734,1.0
2328000,1.3112018,0.35750756,0.03758463,0.01667059,0.00029860658,0.1995355,0.0009954016,1047.0,3.520625313743949,3.520625313743949,1.0
2340000,1.311284,0.4100297,0.07899175,0.01762067,0.00029859957,0.19953318,0.0009953786,1055.7058823529412,4.707344199065119,4.707344199065119,1.0
2352000,1.3114306,0.46836385,0.061222877,0.018220054,0.00029859276,0.19953091,0.000995356,1057.2307692307693,4.2282253845284385,4.2282253845284385,1.0
2364000,1.3113998,0.43104604,0.049710784,0.01628983,0.00029858525,0.19952843,0.0009953312,1019.0,3.4813836018244424,3.4813836018244424,1.0
2376000,1.3115668,0.3698505,0.038155522,0.013774724,0.00029857756,0.19952585,0.000995306,1050.6,5.019675442948937,5.019675442948937,1.0
