Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Losses/Value Loss,Losses/Policy Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
3310000,0.18291965,1.2968084,0.002999802,0.0048914286,0.023534892,-0.3592553334706958,610.9574468085107,-0.3586957630417917
3320000,0.22193335,1.2921491,0.0029998012,0.026660595,0.022447793,-0.3850000137463212,612.0,-0.38500010035932064
3330000,0.08271652,1.2876112,0.002999801,0.001406536,0.022748508,None,None,None
3340000,-0.016677335,1.2860625,0.0029998,None,None,None,None,None
3350000,-0.21555337,1.2832558,0.0029997996,0.04288475,0.021335278,0.8354166503219554,637.4166666666666,0.8354166056960821
3360000,0.1137483,1.2905904,0.0029997984,0.0029133642,0.024143806,None,None,None
3370000,-0.09300714,1.2914745,0.002999798,0.0039214417,0.0297105,None,None,None
3380000,-0.7521385,1.2820271,0.0029997975,0.03355206,0.018773383,None,None,None
3390000,-0.9435085,1.2832329,0.002999797,0.327497,0.026686333,3.7273958911149143,999.0416666666666,3.727396354700128
3400000,-0.033509694,1.282488,0.0029997958,0.08049579,0.022177855,None,None,None
3410000,-0.31148013,1.273938,0.0029997956,0.004072227,0.026275588,None,None,None
3420000,-0.26965216,1.2712188,0.002999795,0.009429274,0.025471693,None,None,None
3430000,-0.585267,1.2775472,0.0029997944,0.12446268,0.018635537,None,None,None
3440000,-0.37752113,1.2855049,0.0029997935,0.30529463,0.018404873,5.25645835926601,889.9375,5.256458866526373
3450000,-0.4794477,1.292915,0.0029997937,0.013792947,0.017412309,None,None,None
3460000,-0.123514034,1.2909852,0.002999793,0.021556845,0.023065282,0.7837499601300806,408.5,0.7837497889995575
3470000,-0.12983625,1.2828141,0.002999792,0.1582684,0.02406179,2.7153125003096648,593.2291666666666,2.7153127139123776
3480000,-0.12776409,1.2826571,0.0029997914,0.002868347,0.021343837,None,None,None
3490000,-0.061468937,1.2852114,0.0029997905,None,None,0.9399999566376209,433.0,0.9399997889995575
3500000,0.07977468,1.2860153,0.0029997902,0.03139983,0.023824153,2.874895827282065,626.6666666666666,2.87489597289823
3510000,0.15058517,1.2842369,0.00299979,0.12646483,0.02671265,0.25499997194856405,286.0,0.2549998313188553
3520000,0.17831457,1.2817976,0.0029997893,0.010376578,0.021793239,-0.04000002145767212,338.57142857142856,-0.04000011725085122
3530000,-0.093630955,1.2785649,0.0029997884,0.020650348,0.030043265,-0.25000001676380634,219.85714285714286,-0.25000009845410076
3540000,-0.24047089,1.2729647,0.0029997877,0.19821905,0.024528468,1.372142852017922,476.57142857142856,1.3721429407596588
3550000,0.028965928,1.2696273,0.0029997872,0.082047135,0.02872486,4.18975616637163,943.1219512195122,4.189756794310197
3560000,0.2863647,1.2711133,0.0029997865,0.007901369,0.023946054,0.22277775044656462,290.0,0.22277764541407427
3570000,0.093974285,1.2707645,0.0029997863,0.004073299,0.022323335,-0.2064285891662751,197.28571428571428,-0.20642865236316407
3580000,-0.02960756,1.2704078,0.0029997858,0.05155789,0.021218272,1.9412000013142825,591.8,1.9412001775205134
