Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Losses/Value Loss,Losses/Policy Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
3590000,0.1567208,1.2685273,0.002999785,0.08491347,0.02174999,-0.1142857340829713,209.28571428571428,-0.11428581071751458
3600000,0.013697283,1.2632846,0.0029997844,0.0064606834,0.020150738,0.14727270162918352,279.8181818181818,0.14727258021858605
3610000,0.0448699,1.2512164,0.0029997837,0.020334871,0.020637818,0.17291664044993618,486.8958333333333,0.17291654859824726
3620000,0.1853235,1.2365707,0.002999783,0.0023807895,0.018328143,0.1699999738484621,299.0,0.1699998453259468
3630000,0.050823,1.2298063,0.0029997826,0.011544114,0.02677864,0.6520454176193611,449.54545454545456,0.6520452573895454
3640000,-0.0053790193,1.2274767,0.0029997823,0.0482887,0.025289278,0.6589024237516087,477.4878048780488,0.6589024205487676
3650000,0.10851992,1.2226809,0.0029997814,0.009225549,0.02496517,0.06374997622333467,254.16666666666666,0.06374988332390785
3660000,-0.02813466,1.2275698,0.0029997805,0.0075100637,0.03213315,-0.06423079014684145,225.92307692307693,-0.06423086501084842
3670000,-0.162174,1.2193578,0.00299978,0.09976586,0.025679952,1.1210377297698046,467.37735849056605,1.1210377836986534
3680000,0.14094871,1.2187483,0.0029997795,0.0024347068,0.02866355,-0.18291668492990235,222.16666666666666,-0.1829167652564744
3690000,0.011461929,1.2175788,0.0029997788,0.00571125,0.022979854,0.014761882080208687,248.95238095238096,0.014761792761938912
3700000,-0.09925818,1.2115128,0.0029997786,0.09149976,0.029583186,0.05882350837483125,345.52941176470586,0.05882341151728349
3710000,-0.2819641,1.2099884,0.002999778,0.055365086,0.021081893,-0.01580002199858427,242.88,-0.015800113528966903
3720000,-0.19152036,1.2138712,0.0029997772,None,None,3.4823913295226903,763.6521739130435,3.482391707599163
3730000,-0.11426202,1.2111506,0.0029997765,0.029990327,0.025554111,0.4796773862814711,359.35483870967744,0.4796772435788185
3740000,-0.09785889,1.2069927,0.0029997758,0.008959731,0.027616821,-0.0974193750129592,232.70967741935485,-0.09150011179347833
3750000,-0.19206522,1.1999669,0.002999775,0.003326758,0.020658238,0.6113414497500876,325.1707317073171,0.590238094329834
3760000,-0.05867665,1.2016518,0.0029997749,0.09085533,0.023232093,1.0337142747427737,356.1714285714286,1.033714268888746
3770000,-0.04578583,1.202301,0.0029997744,0.052698366,0.022837358,-0.05710528423323443,242.39473684210526,-0.05710537824779749
3780000,-0.14931214,1.2039273,0.002999774,0.004346906,0.021304758,-0.09261906630403939,224.42857142857142,-0.09261912355820338
3790000,-0.16271418,1.2006758,0.0029997728,0.009715305,0.02342222,0.14333331473171712,284.93333333333334,0.14333326626155113
3800000,-0.14545226,1.1966854,0.0029997723,0.0029962347,0.023210496,-0.051309545014408375,219.64285714285714,-0.051309626194692794
3810000,-0.24954078,1.1940855,0.0029997714,0.003385436,0.021694683,-0.16406251821899787,238.41666666666666,-0.16406258443991342
3820000,0.16490659,1.1946244,0.0029997716,0.0048498604,0.02439351,0.103749975329265,267.25,0.1037498814985156
3830000,-0.03505143,1.1999078,0.002999771,0.007579484,0.017388035,0.21708330612940094,298.625,0.21708318567834795
3840000,-0.16035914,1.2012846,0.0029997702,0.010396785,0.025327865,0.31177080494429293,342.125,0.3117706950288266
3850000,-0.18547335,1.1987842,0.002999769,0.014953169,0.024934994,-0.10569769076916367,245.6046511627907,-0.10569775347099748
3860000,-0.07324818,1.1978474,0.002999769,0.003277787,0.026789563,0.11724997502751648,284.375,0.11724986657500266
3870000,-0.2252288,1.1951494,0.002999768,0.0077003622,0.024596173,-0.15220932127518016,231.2325581395349,-0.15220938540648582
