Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Losses/Value Loss,Losses/Policy Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
30000,-0.13285369,1.4060193,0.0029999986,0.009631578,0.027902795,-20.405937558447476,607.625,-20.405935580531757
40000,-0.0872338,1.4003333,0.0029999984,1.839311,0.025940185,None,None,None
50000,0.13749288,1.3988241,0.0029999972,0.034843337,0.026391715,None,None,None
60000,-0.33161488,1.4004546,0.0029999965,6.2576118,0.020787662,-11.6813542045226,497.4166666666667,-11.681353659679493
70000,-0.314348,1.4006894,0.002999996,0.5824937,0.0214229,None,None,None
80000,-0.013486841,1.3961333,0.0029999954,0.2772173,0.025817903,-21.09687504626345,505.5,-21.096873372793198
90000,-0.5016052,1.4012775,0.002999995,None,None,None,None,None
100000,0.19674557,1.3976381,0.0029999947,0.28867337,0.023813784,None,None,None
110000,-0.12422462,1.398891,0.0029999935,0.031572737,0.023067944,-6.323854215307317,498.4791666666667,-6.323854235311349
120000,-0.42881766,1.4057783,0.0029999928,14.480525,0.018070202,None,None,None
130000,-0.05888412,1.4054488,0.0029999926,0.015487153,0.023673678,None,None,None
140000,-0.18507108,1.4069355,0.0029999916,0.0013385903,0.029448202,-29.08343756472459,666.5625,-29.083441471060116
150000,-0.3683677,1.4105382,0.0029999912,10.606203,0.025152352,None,None,None
160000,0.04422691,1.411579,0.002999991,0.028646756,0.026167082,None,None,None
170000,-0.4039095,1.4125222,0.0029999905,1.3217809,0.026775707,-24.30093755706912,597.4375,-24.300938459734123
180000,-0.7232627,1.4179066,0.0029999898,23.743572,0.026140817,None,None,None
190000,-0.14023209,1.4187754,0.002999989,0.024579776,0.021645052,-36.31225002096035,550.3,-34.6635324624641
200000,-0.434031,1.4202502,0.0029999884,9.422893,0.023889672,-44.80875002263513,551.0357142857143,-44.890649583491104
210000,-0.19009872,1.4255371,0.002999988,0.015764248,0.028172903,-25.715000031515956,391.0,-24.58142892377717
220000,-0.6068356,1.4258583,0.0029999872,4.8184185,0.0236776,-24.317375030345282,396.1,-24.5450008678727
230000,-0.3395828,1.4224378,0.0029999865,0.054006457,0.022900794,-17.8722917016518,377.3333333333333,-17.87228917889297
240000,-0.28877106,1.4206814,0.0029999858,6.9577923,0.025789935,None,None,None
250000,-0.2809287,1.4225774,0.0029999851,0.017469224,0.027434152,-20.926562538428698,397.2916666666667,-20.926559824496508
260000,-0.52753556,1.4215914,0.002999985,4.222466,0.024476048,None,None,None
270000,-0.4433495,1.425816,0.002999984,0.054976366,0.02338851,None,None,None
280000,-0.4475169,1.4309055,0.0029999837,5.358154,0.021719836,-15.924687552440446,532.625,-15.924685690551996
290000,0.16496566,1.4222372,0.0029999835,None,None,None,None,None
300000,0.178676,1.4127582,0.0029999826,0.028272754,0.025847265,-14.202142903714307,554.0714285714286,-14.92363597994501
310000,-0.28450632,1.4108872,0.0029999816,0.06239324,0.016980793,-19.048235340372603,570.3823529411765,-18.440810305645336
320000,0.15539832,1.4106354,0.0029999816,2.9828868,0.022192264,-11.550000032410026,386.0,-11.549998790025711
330000,-0.24569999,1.4178631,0.0029999805,0.09947522,0.028321119,-13.94978727463712,453.9148936170213,-13.949785518519422
340000,0.16073173,1.4223737,0.0029999802,1.298071,0.023312207,-11.606250036740676,358.25,-11.606249444186687
350000,-0.24423905,1.4156497,0.0029999798,0.0376043,0.0253442,-9.110795499312438,473.5,-9.110794902525164
360000,0.07592047,1.4186397,0.002999979,3.401402,0.020704692,-3.823750048642978,470.0,-3.823750302195549
370000,-0.018399894,1.4191732,0.0029999784,0.43974826,0.024785727,-11.666666696468988,375.3333333333333,-11.666665901740393
380000,-0.2545555,1.4156125,0.0029999777,0.039925292,0.031014124,-15.15829273335999,552.3170731707318,-15.158291510692457
390000,-0.035152487,1.4073439,0.002999977,1.2390504,0.019613607,-12.794285757201058,439.85714285714283,-12.794284531048365
400000,-0.2864108,1.4065813,0.0029999763,0.2426373,0.024889626,-6.391447416727284,501.2631578947368,-6.391447107258596
410000,-0.1812728,1.4110833,0.0029999758,2.110989,0.02489651,-12.589000034891068,381.2,-12.588999408483506
420000,-0.5649441,1.414722,0.0029999746,2.2731197,0.01919052,-13.27596776605013,297.0967741935484,-13.275966012670148
430000,-0.13062677,1.4179766,0.002999974,3.8367407,0.021821804,-10.23785718543721,429.85714285714283,-10.237856988395963
440000,-0.55557936,1.4139373,0.0029999735,0.32516178,0.018851645,-21.231944488309736,510.5,-21.231944715397226
450000,-1.1950144,1.4088218,0.002999973,9.83169,0.023617508,-9.530000050738455,522.8,-9.529998940229415
460000,-0.14404425,1.4071097,0.0029999723,0.48332092,0.030002838,-10.193750051548705,559.875,-10.193748895078897
470000,-0.68515575,1.4049137,0.0029999723,0.4541857,0.019902533,-25.3113750472432,550.95,-25.31137561313808
480000,-0.084408246,1.400606,0.0029999716,7.1469297,0.02186125,None,None,None
490000,-0.26328388,1.3933533,0.0029999707,0.68948597,0.028584981,-8.415000052191317,552.375,-8.414999350905418
500000,-0.77041304,1.3877656,0.00299997,7.2383103,0.02230973,-20.265375054976904,604.85,-20.265376472473143
510000,-0.26368523,1.387008,0.0029999693,1.0813961,0.023544857,-26.488750028191134,378.95,-25.691842475219776
520000,-0.4767412,1.3864129,0.002999969,2.0028405,0.02410599,-18.869285744348808,350.14285714285717,-19.654135881826797
530000,-0.569078,1.3871678,0.0029999688,1.442212,0.021548036,-13.366190506322752,339.1190476190476,-13.366189064014526
540000,-0.19558129,1.390137,0.0029999684,2.6116624,0.02349793,-19.507857173016028,342.42857142857144,-19.507855726139887
550000,-0.6100782,1.3900912,0.0029999672,2.9908473,0.022616988,-15.936063861652734,373.40425531914894,-15.936061913662769
560000,-0.3108843,1.386457,0.0029999665,0.7650467,0.020204393,-14.698125025373884,319.2916666666667,-14.698124788701534
570000,-1.0853149,1.3830341,0.0029999658,4.7654676,0.021017304,-17.422083361151937,346.7916666666667,-17.42208195105195
580000,-0.5115216,1.3813534,0.0029999653,2.69208,0.030182263,-18.644418631312114,332.3488372093023,-18.644418477665546
590000,-0.24709624,1.3825369,0.0029999649,2.168054,0.029327994,-20.151607160223648,270.75,-20.226665842312354
600000,-0.9020561,1.3863292,0.0029999649,8.18782,0.023573715,-18.493958359545406,300.625,-18.479198265075684
610000,-0.15092549,1.384627,0.0029999637,None,None,-25.650875031831674,396.675,-25.650875576911496
620000,-0.47009814,1.386444,0.002999963,1.0709195,0.021776354,-17.6220000308007,343.7,-17.621999499201774
630000,-1.7921836,1.3890632,0.002999962,1.5043546,0.02196881,-13.401282078419358,294.28205128205127,-13.401281291093582
640000,0.37967902,1.3959465,0.0029999618,5.755117,0.020967683,-13.181428615269917,464.7142857142857,-13.181427559682302
650000,-0.36083323,1.393783,0.0029999614,0.1673215,0.024983684,-17.26448280434927,528.2758620689655,-17.26448197505469
660000,-0.61754984,1.3901132,0.0029999611,3.8263896,0.019787699,-26.268750047078356,527.125,-26.268752082251012
670000,-0.2834814,1.3877755,0.0029999602,1.5677501,0.016318403,-25.533125027199276,405.4375,-25.53312723134877
680000,-0.0988853,1.3844467,0.0029999595,1.9906287,0.022894796,-14.828666704768937,414.6666666666667,-14.828664936621983
