Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10000,1.4189384,0.0029999996,0.038769066,-0.148000019043684,336.4,-0.14800009727478028
20000,1.4322808,0.0029999989,0.10247233,-0.007125022192485631,289.6,-0.007125133089721203
30000,1.4343439,0.0029999984,0.1124051,-0.3813750138273463,277.075,-0.38137507513165475
40000,1.4404013,0.0029999982,0.121256664,-0.364750014198944,257.45,-0.3647501185536385
50000,1.4462559,0.0029999972,0.038331702,-0.26712501638103275,256.875,-0.2671251345425844
60000,1.445631,0.0029999968,0.10113515,0.09499997552484274,278.975,0.09499987587332726
70000,1.4337987,0.0029999958,0.22428642,-0.19625001796521246,238.225,-0.19625013298355043
80000,1.4382747,0.0029999951,-0.044321533,-0.2276829440919001,231.53658536585365,-0.22625010525807737
90000,1.4451247,0.002999995,-0.11255334,-0.20141027426012817,250.05128205128204,-0.20350009445101022
100000,1.4474583,0.0029999947,-0.080679394,-0.21037501764949412,251.175,-0.21037510354071856
110000,1.4452621,0.002999994,0.014107932,-0.198375017917715,244.7,-0.19837510474026204
120000,1.4409482,0.0029999933,-0.10068191,-0.26575001641176643,243.25,-0.2657501185312867
130000,1.4387504,0.0029999923,-0.08472646,-0.15662501885090024,246.55,-0.15662511219270528
140000,1.4396838,0.0029999914,-0.13357179,-0.09387502025347202,254.6,-0.09387511992827058
150000,1.4363748,0.0029999914,-0.15517418,-0.08025002055801451,246.3,-0.08025012481957675
160000,1.4247488,0.0029999912,-0.19060604,0.022874977136962116,286.425,0.022874840069562197
170000,1.4128249,0.0029999905,-0.0055903443,0.21399997286498545,341.45,0.21399984695017338
180000,1.4028208,0.0029999895,0.08984936,0.9797499557491391,462.15,0.9797497950494289
190000,1.4039347,0.0029999889,-0.16609764,0.02374997711740434,294.475,0.023749849013984203
200000,1.3988707,0.0029999882,-0.13423759,0.09849997544661164,280.725,0.098499856563285
210000,1.3907646,0.0029999877,-0.039801065,0.37774996920488774,348.25,0.3777498256415129
220000,1.3947523,0.0029999875,-0.11979132,-0.06362502092961222,272.075,-0.06362513047643006
230000,1.3996722,0.0029999865,-0.14682578,-0.028875021706335248,298.4,-0.02887514317408204
240000,1.4004782,0.002999986,0.032371346,0.6439999632537365,448.6,0.6439997732639313
250000,1.4013602,0.0029999851,-0.0992549,-0.016250021988525987,278.9,-0.016250125830993056
260000,1.4001741,0.0029999844,0.12874596,0.1679999738931656,329.1,0.16799981966614724
270000,1.3982377,0.002999984,-0.04774979,0.2024999731220305,344.9642857142857,0.20249984652868339
280000,1.3987637,0.0029999837,0.05954558,0.013124977354891598,334.0,0.013124857097864151
290000,1.4006275,0.0029999833,0.03375221,0.34761901749741464,360.8095238095238,0.34761888516091166
300000,1.4020404,0.0029999823,0.011210367,0.3378204829178942,355.4102564102564,0.3378203145395487
310000,1.4053206,0.0029999819,0.06343316,0.3682499694172293,346.95,0.36824982445687054
320000,1.3988119,0.002999981,0.048051234,0.23124997247941792,327.5,0.23124985182657837
330000,1.3958725,0.0029999802,0.21508096,0.9799999557435513,484.4,0.9799997515976429
340000,1.3888183,0.00299998,0.11091039,1.5852499422151596,610.25,1.5852497064508497
350000,1.3874657,0.0029999795,0.058354218,0.3724999693222344,396.1764705882353,0.3724998237893862
360000,1.3942126,0.002999979,0.06242659,0.25166663868973654,404.3333333333333,0.2516665088219775
370000,1.3960729,0.002999978,-0.004803648,0.5379729385965982,471.4594594594595,0.5379727813037666
380000,1.3908448,0.0029999774,0.14416732,0.522105229136191,438.7368421052632,0.5221050683605043
390000,1.3927302,0.0029999765,-0.12643388,1.0069999551400541,534.8,1.0069997489452363
400000,1.3929574,0.0029999763,0.16096254,1.0299999546259642,480.0,1.029999703168869
410000,1.3886241,0.0029999758,-0.11012719,0.7303749613231048,507.65,0.7303747942671179
420000,1.3909858,0.0029999753,0.19386776,None,None,None
430000,1.3921046,0.0029999744,0.086243235,1.2532499496359377,572.3,1.2532497130334377
440000,1.388848,0.002999974,0.09588273,0.7939999599009753,523.75,0.7939998179674148
450000,1.3860836,0.0029999728,0.033422124,1.2634999494068324,695.0,1.263499707262963
460000,1.3802052,0.0029999726,0.10675361,0.7004999619908631,555.0,0.7004998004063964
470000,1.3813204,0.0029999726,0.2544863,0.41999996826052666,426.65,0.4199998199939728
480000,1.3792512,0.0029999716,0.18086451,1.8884999354369938,662.2,1.8884996190667152
490000,1.3720553,0.002999971,0.31533378,1.199999950826168,558.0,None
500000,1.363518,0.00299997,0.13394432,0.9778204686127794,469.1794871794872,0.983374744374305
510000,1.3574077,0.0029999695,0.3311655,0.7143332950149973,448.8666666666667,0.7143330971399943
520000,1.3561672,0.0029999688,0.095886976,0.34679996989667417,410.36,0.34679981768131257
530000,1.3491985,0.0029999686,0.08678759,0.31465514302896014,369.9655172413793,0.31465500715220796
540000,1.3506161,0.0029999681,0.1219516,0.1151723888670576,346.7241379310345,0.11821412521281413
550000,1.3489063,0.0029999674,0.14894271,0.9829545011320575,524.6818181818181,0.9415215012495932
