Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
560000,1.3472419,0.0029999665,0.2449935,1.1103332861637076,517.3333333333334,1.1103330741326014
570000,1.3491026,0.0029999658,0.17745665,0.830789432762877,498.6842105263158,0.8307892375282551
580000,1.3428785,0.0029999653,0.18568742,1.0299999546259642,521.0,1.0299997518167776
590000,1.3501526,0.0029999649,0.22764176,0.5232499659527093,479.3,0.5232498422265053
600000,1.3515123,0.0029999646,0.2699502,1.0495832875215758,550.9166666666666,1.0495830873648326
610000,1.3483567,0.002999964,0.23209605,0.9902631134088886,548.0526315789474,0.9902629209192175
620000,1.3438548,0.0029999628,0.0769095,0.808928530995867,528.4642857142857,0.8089283458622438
630000,1.3389521,0.0029999623,0.13333835,0.3118420759412019,463.94736842105266,0.31184195697699724
640000,1.3334756,0.0029999618,0.04375831,-0.10739132429918517,428.1304347826087,-0.10739142139968665
650000,1.3273128,0.0029999614,-0.0032065313,-0.4530434904863005,346.69565217391306,-0.45304356734065904
660000,1.3233032,0.002999961,0.18757941,0.11235291631344486,398.7647058823529,0.11235282307162005
670000,1.3160822,0.0029999602,0.17164381,0.727249961392954,552.3,0.7272497856989503
680000,1.3088934,0.0029999597,0.20328705,0.4932499666232616,472.7,0.4932498216629028
