Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss
1230000,0.026006643,1.2169458,0.0029999267,1.9560640011099166,433.18,1.9560639983136208,0.124814235,0.0165931
1240000,0.039963186,1.2086527,0.002999926,None,None,None,None,None
1250000,0.11105413,1.2028977,0.0029999253,1.9574300010754087,419.7,1.957430007569492,0.0012608004,0.025698543
1260000,0.048776757,1.2049572,0.0029999244,None,None,None,0.12215245,0.023396673
1270000,0.22126375,1.1942182,0.0029999244,1.958586207942752,408.13793103448273,1.9585592501486342,0.0028619631,0.022619719
1280000,0.09486138,1.1926612,0.0029999241,1.7772136373985796,403.8181818181818,1.7923583404820722,0.102251366,0.019971527
1290000,0.2819318,1.1928372,0.0029999234,1.5789428581559886,395.14285714285717,1.578942877107433,0.005550799,0.025642868
1300000,0.20930053,1.1904564,0.0029999223,1.826726667675636,393.53333333333336,1.8267266678313414,0.09544457,0.024242848
1310000,0.41894445,1.1809236,0.0029999218,1.5900697683977087,372.9767441860465,1.5900697767907797,0.0115308305,0.027060462
1320000,0.23499157,1.169447,0.0029999213,1.4637125009166994,357.625,1.463712501921691,0.08018846,0.020675307
1330000,0.34472898,1.1624134,0.0029999209,1.2444040008992305,351.16,1.2444039975106715,0.0120794745,0.028810136
1340000,0.26888198,1.1622354,0.0029999202,-1.4036230764429023,187.84615384615384,-1.403623072967793,0.12190173,0.025391674
1350000,0.33244187,1.1646512,0.00299992,1.0411820521849455,352.4871794871795,1.0411820770838323,0.055025026,0.019291826
1360000,0.29293296,1.1592672,0.002999919,-0.3146142849842103,285.14285714285717,-0.2288500006077811,0.10827224,0.02134738
1370000,0.3415685,1.155015,0.0029999183,0.5536794126376609,340.7352941176471,0.47986285995159833,0.115051836,0.030888055
1380000,0.30507934,1.1495156,0.0029999178,0.5032400007602216,296.8,0.503240028458337,0.07165946,0.027011061
1390000,0.30255654,1.1411335,0.0029999167,0.940700000776269,303.1142857142857,0.9407000197097659,0.075266175,0.021085586
1400000,0.3414295,1.1377975,0.0029999162,1.3936285723113022,344.6,1.3936285864162659,0.078753896,0.024467556
1410000,0.33940706,1.130732,0.002999916,1.1103892865344929,320.25,1.1103892958989101,0.07359085,0.027051032
1420000,0.36562198,1.1206329,0.0029999148,1.0769037045678556,337.3703703703704,1.0769037122631238,0.085564874,0.027246915
1430000,0.37277913,1.1165501,0.0029999143,1.1962000008732923,340.96153846153845,1.1962000175128475,0.0779482,0.025854738
1440000,0.3615821,1.114037,0.0029999136,1.0918187508382289,327.28125,1.0918187647039304,0.07951197,0.02720084
1450000,0.3832642,1.1097031,0.0029999134,0.589331035274944,309.41379310344826,0.5893310395968628,0.075959966,0.027585953
1460000,0.39192176,1.1035227,0.0029999127,1.0766851860548572,339.5925925925926,1.0766851799562573,0.07856638,0.028960105
1470000,0.39547813,1.0945606,0.002999912,1.6120235302968307,345.55882352941177,1.6120235266246121,0.0571614,0.029271036
1480000,0.38183108,1.0868429,0.0029999116,0.8922884623162435,303.7307692307692,0.8922884615424734,0.08237229,0.019930677
1490000,0.37843767,1.0828538,0.0029999104,1.4943647067677162,345.6470588235294,1.494364714852589,0.06455708,0.02747664
1500000,0.41656032,1.0893164,0.00299991,1.0330333341829827,331.76666666666665,1.0330333419299373,0.07213821,0.028902862
1510000,0.43946558,1.0883721,0.0029999092,1.3243520009005443,351.6,1.3243519927933811,0.07330509,0.02424983
1520000,0.45572877,1.0780402,0.002999909,0.8764424250671944,322.06060606060606,0.8764424211430278,0.07681249,0.020890296
1530000,0.4587897,1.0773158,0.0029999088,0.8646862077015424,314.3448275862069,0.8646862209646096,0.07823811,0.021845866
1540000,0.49745142,1.0787652,0.002999908,1.81642222311725,349.4074074074074,1.816422237911158,0.053947464,0.020150451
1550000,0.5312033,1.075222,0.002999907,1.707593549254647,338.6774193548387,1.7075935594226805,0.0524024,0.024617575
1560000,0.50838864,1.0747087,0.0029999064,1.5037115393393974,342.7307692307692,1.503711534735675,None,None
1570000,0.52809167,1.0680047,0.0029999057,1.1434970596565108,325.20588235294116,1.1434970749268198,0.058915053,0.029326698
1580000,0.5168985,1.0585058,0.0029999055,0.8572361119107276,312.1388888888889,0.8572361131664366,0.074905634,0.0203519
1590000,0.4684472,1.055046,0.002999905,1.2710608704061166,328.2173913043478,1.2710608834117327,0.092732646,0.028253011
1600000,0.46312535,1.0517725,0.0029999046,1.2606764714330305,329.70588235294116,1.2606764773235601,0.051201683,0.029526444
1610000,0.4577044,1.0515907,0.0029999036,0.1413114293322516,296.9714285714286,0.14131143022594708,0.085204415,0.020837529
1620000,0.46436098,1.0492191,0.0029999032,0.04006206969567976,284.9655172413793,0.04006207153072645,0.10802778,0.023540935
1630000,0.4572105,1.0437142,0.0029999022,0.272185000702666,274.25,0.2721850007306784,0.10777987,0.02263217
1640000,0.44851333,1.0408059,0.0029999018,0.91047058901099,302.70588235294116,0.9104705898310331,0.088547505,0.032169156
