Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10000,1.4189384,0.003,15.017485,-1.0985714140747274,64.83571428571429,-1.0985713281801768
20000,1.4335879,0.0029999989,10.375029,-1.144324308714351,69.79729729729729,-1.141020311587522
30000,1.4357595,0.0029999986,8.050645,-0.9425139532804323,59.357541899441344,-0.898562790569431
40000,1.4399731,0.002999998,5.382835,-0.793381280125045,66.49640287769785,-0.8678377395546114
50000,1.4440273,0.002999997,5.0110245,-1.0118120661717933,64.40268456375838,-1.008552543230747
60000,1.4485368,0.0029999965,4.7778845,-1.0535087596232955,55.35672514619883,-1.0449417663175007
70000,1.4588586,0.002999996,3.9621093,-1.010329657940419,55.747252747252745,-1.015555473830965
80000,1.4669898,0.0029999951,3.4920144,-0.9245251276160918,54.28491620111732,-0.9222777149743504
90000,1.4688886,0.002999995,2.9437633,-0.8350531796013263,53.8563829787234,-0.8409288833375836
100000,1.4674833,0.0029999944,2.0088406,-1.0500564853224041,53.36158192090395,-1.0356283300235622
110000,1.4686462,0.002999994,1.779191,0.029200020134449004,91.01,0.029200147092342376
120000,1.4746661,0.0029999933,1.1843613,-0.6553642228739152,69.98013245033113,-0.6433556057862787
130000,1.482151,0.0029999926,1.1991676,-0.37609521883229413,86.71428571428571,-0.39803724394780454
140000,1.4874709,0.0029999916,1.1052426,-0.5579999838556562,72.82142857142857,-0.5579998904040882
150000,1.4893789,0.0029999912,0.9354419,-0.8345323596283686,65.05755395683454,-0.8305796110543652
160000,1.4880496,0.002999991,0.66240263,-0.4437499805020967,87.77678571428571,-0.4398212826677731
170000,1.4838682,0.0029999902,0.5050206,-0.936437485634815,64.525,-0.933797377008426
180000,1.474062,0.0029999895,0.4169873,-0.8779738421363183,63.3202614379085,-0.8874358024734718
190000,1.4727433,0.002999989,0.06379939,-1.0078394920622677,63.25925925925926,-1.0106831329949895
200000,1.4685686,0.0029999882,-0.033523228,-0.9175159098924535,61.59872611464968,-0.9052257097536518
210000,1.4628544,0.0029999877,-0.22640221,-0.9873103310835772,61.66206896551724,-0.9962836751664007
220000,1.4600106,0.0029999872,-0.20188329,-0.837117096191054,93.87387387387388,-0.8371169725516895
230000,1.460101,0.0029999868,-0.2458559,-0.782727254123604,83.50413223140495,-0.7973332074781259
240000,1.4548551,0.002999986,-0.33390105,-1.0255651993272097,80.84347826086956,-1.008361945635286
250000,1.4474746,0.0029999854,-0.35826617,-0.7027834827637243,100.4639175257732,-0.70278333388653
260000,1.444588,0.002999985,-0.4110953,-0.7062280500765171,90.2280701754386,-0.7062279317985501
270000,1.4423407,0.002999984,-0.3350253,-0.8673912825305825,97.82608695652173,-0.8673911622684934
280000,1.4386934,0.0029999835,-0.42957756,-0.8296183042853843,73.20610687022901,-0.8247691124677659
290000,1.4351561,0.002999983,-0.49703428,-0.8790384397412149,97.60576923076923,-0.8843267706151192
300000,1.4420315,0.0029999823,-0.5338214,-1.1779999814927578,82.66666666666667,-1.1718486287012821
310000,1.439067,0.0029999816,-0.5993637,-0.8142148572797617,84.09917355371901,-0.8239023050641626
320000,1.4376444,0.0029999812,-0.5793082,-0.7783478071346231,84.98260869565217,-0.7783476979836174
330000,1.4320982,0.0029999802,-0.54129,-0.9975268587029429,102.94623655913979,-1.0172824519483938
340000,1.4216729,0.00299998,-0.54318404,-0.7273451127276748,89.95575221238938,-0.7137717913117325
