Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189384,0.0029999996,-1.0188392850437336,42.901785714285715,-2.5066488,-1.0188392606963004
20000,1.4249542,0.0029999989,-1.0186403502154637,42.12280701754386,-1.2947191,-1.0185902859556124
30000,1.4272745,0.0029999986,-1.0069406386549886,42.141552511415526,-1.0967731,-1.0069406165498984
40000,1.4293308,0.0029999984,-0.9891351344718321,46.924324324324324,-0.92723143,-0.9889673704342188
50000,1.4260634,0.0029999975,-0.9598136639673702,51.95031055900621,-0.82534605,-0.9597515355772483
60000,1.4218054,0.0029999968,-0.9253571421972343,52.648809523809526,-0.7699874,-0.9265882193823071
70000,1.4120084,0.0029999958,-0.8580952373897137,57.183673469387756,-0.6874828,-0.8569177932246295
80000,1.4029071,0.0029999954,-0.8357142849723581,65.40336134453781,-0.6539961,-0.8383050705385158
90000,1.3976824,0.002999995,-0.6315624991548248,83.5,-0.57320964,-0.6361458243918605
100000,1.3949226,0.0029999947,-0.3453623172759578,117.34782608695652,-0.4920688,-0.35140843387745635
110000,1.3846729,0.0029999937,-0.26637680985141493,121.2463768115942,-0.42542246,-0.2663767942753823
120000,1.3783072,0.0029999928,-0.25457626985291304,129.88135593220338,-0.35546032,-0.25457625801406675
130000,1.373548,0.0029999926,-0.12566037581495518,147.0566037735849,-0.31500992,-0.13576921877952722
140000,1.3697416,0.0029999914,0.40324324691617813,196.48648648648648,-0.26152655,0.403157916214121
150000,1.3638859,0.0029999914,0.052790704291573794,199.93023255813952,-0.22376262,0.052790727423027504
160000,1.3549858,0.0029999912,0.5092857204643744,229.21428571428572,-0.18204324,0.5092857580498925
170000,1.3495069,0.0029999902,0.15083334998538098,300.2916666666667,-0.15285149,0.15083342689710358
180000,1.3435866,0.0029999895,0.26062503608409315,427.5,-0.12589513,0.26062517159152776
190000,1.3333492,0.0029999889,0.5542857572436333,478.1904761904762,-0.11384591,0.5542859248816967
200000,1.3263285,0.0029999882,-0.04357139327164207,422.42857142857144,-0.060817435,-0.04357125463762453
210000,1.3211823,0.0029999875,0.6422223047249846,761.0,-0.041794013,0.6422225810173485
220000,1.3140198,0.0029999872,1.0360000722110272,666.6,-0.026998747,1.0360003538429736
230000,1.3088123,0.002999987,2.435000095050782,848.125,0.009859535,2.4350004480220377
240000,1.3029759,0.0029999858,1.8428572230041027,746.5714285714286,0.043896794,1.8428575592115521
250000,1.2960396,0.0029999854,1.332727332345464,633.3636363636364,0.05386819,1.3327275760133157
260000,1.2932674,0.0029999844,1.1283334040393431,669.8333333333334,0.08845695,1.1283337051669757
270000,1.2924751,0.002999984,1.4213334021468957,632.8,0.09202808,1.421333693464597
280000,1.2885416,0.0029999837,1.0255556294901504,745.1111111111111,0.09776308,1.025555899573697
290000,1.281466,0.0029999835,1.385714350534337,674.5,0.07908744,1.3857145720560635
300000,1.2765701,0.0029999823,0.5537500840146095,766.125,0.073490456,0.5537503929808736
310000,1.274971,0.002999982,1.9416667545835178,801.75,0.07065791,1.9416670850478113
320000,1.2767178,0.0029999812,2.20333342688779,830.4444444444445,0.07338675,2.203333794242806
330000,1.2722576,0.0029999805,1.3369231596589088,773.3846153846154,0.06643273,1.33692344951515
340000,1.2696581,0.0029999802,2.6063637091693552,715.0,0.06623039,2.606364010240544
350000,1.2664438,0.0029999795,2.0590000757947564,714.4,0.116848856,2.059000383503735
360000,1.26179,0.002999979,1.9675000663846731,649.3125,0.12492359,1.9675003406591713
370000,1.2606983,0.0029999781,0.713333417971929,754.6666666666666,0.15173721,0.7133337766346004
380000,1.2497445,0.0029999772,2.6233334227775535,798.25,0.14947301,2.623333815174798
390000,1.2447613,0.002999977,2.5827273562211883,750.5454545454545,0.16562977,2.582727699286558
400000,1.2430828,0.0029999763,2.5740000855177643,760.3,0.17019646,2.574000427685678
410000,1.2332076,0.0029999758,2.3566667499641576,760.6666666666666,0.16921331,2.3566671100755534
420000,1.2300271,0.002999975,1.7020000703632832,654.7,0.17774886,1.7020003167912363
430000,1.2287368,0.0029999742,1.9280000798404218,734.0666666666667,0.19099887,1.9280004045615593
440000,1.2260917,0.0029999737,1.8500000634230673,599.875,0.20651695,1.8500003311783075
450000,1.2179712,0.002999973,2.4087500816676766,738.75,0.18573156,2.4087504299823195
460000,1.2142588,0.0029999726,2.994444521557954,700.6666666666666,0.20964308,2.994444842967722
470000,1.2144337,0.002999972,2.6658334106517336,689.8333333333334,0.24670297,2.6658337662617364
480000,1.2128469,0.0029999714,2.460769309017521,706.1538461538462,0.23493169,2.460769610909315
490000,1.2107723,0.0029999707,2.4000000804662704,728.0,0.21594569,2.400000387337059
500000,1.2061635,0.0029999702,2.8935294890885843,698.1176470588235,0.22304963,2.893529812093167
510000,1.1969934,0.0029999695,2.4766667435566583,708.5,0.22351341,2.476666998428603
520000,1.1908065,0.0029999688,2.6452941965750036,717.6470588235294,0.22881868,2.6452945463140223
530000,1.1825224,0.0029999688,2.2520000714808703,657.0,0.20677888,2.252000352554023
540000,1.1773317,0.0029999681,2.6307143538392017,641.2857142857143,0.16660397,2.6307146066267575
550000,1.1755332,0.0029999672,2.474444514554408,642.5555555555555,0.17547931,2.4744448200282125
560000,1.170149,0.0029999665,2.650000078071441,700.0,0.213906,2.650000400442098
570000,1.1602911,0.0029999658,2.733846225990699,672.5384615384615,0.21439949,2.733846507823238
580000,1.1530877,0.0029999653,3.4690000766888263,692.1,0.21188942,3.4690004400908947
590000,1.1530702,0.0029999649,2.228666744257013,694.7333333333333,0.22897592,2.228667044515411
600000,1.1492547,0.0029999646,2.3570000713691117,655.2,0.20582113,2.3570003734901546
610000,1.1469259,0.0029999637,2.3900000769644976,688.6666666666666,0.20694304,2.390000424037377
620000,1.1491288,0.0029999632,3.3555556283228927,663.3333333333334,0.18517713,3.355555937728948
630000,1.1477004,0.0029999625,2.8985715034816946,687.9285714285714,0.18021831,2.8985718337020705
640000,1.1470962,0.0029999618,2.4280000764876606,690.4,0.21574461,2.4280004013329743
650000,1.1477691,0.0029999614,2.6684616094884963,666.2307692307693,0.19167177,2.6684619043595514
660000,1.1438515,0.0029999611,2.6738462299108505,695.3076923076923,0.23612794,2.6738465254983077
670000,1.1422259,0.0029999604,2.549000078253448,705.8,0.21057357,2.549000400304794
