Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189384,0.0029999998,-1.4631172728357003,66.93525179856115,-0.0502864,-1.4642594689030901
20000,1.4068705,0.002999999,-1.3734222275153216,70.66666666666667,-0.22890863,-1.3729228205047548
30000,1.4106117,0.0029999986,-1.4671418248194228,84.2909090909091,-0.36487287,-1.4649064414920883
40000,1.4082607,0.0029999982,-1.6841202345131432,105.17977528089888,-0.4750339,-1.684416695161619
50000,1.4069607,0.0029999975,-1.72507408441689,120.64197530864197,-0.5667867,-1.7250741007162924
60000,1.3969194,0.0029999965,-1.5432000075864682,130.20833333333334,-0.6045811,-1.5432000132536308
70000,1.392331,0.0029999958,-1.2897710881467013,127.89156626506023,-0.62941885,-1.2897710933136832
80000,1.3860483,0.0029999951,-1.1990213358027784,123.98666666666666,-0.60682863,-1.1990213456377388
90000,1.3806233,0.002999995,-1.1919426493566467,140.0735294117647,-0.6184882,-1.1919426619390245
100000,1.3731143,0.0029999947,-1.1842278709801413,153.50819672131146,-0.5913999,-1.184227879869095
110000,1.3588191,0.0029999937,-1.213773686772344,155.33333333333334,-0.56805176,-1.2137737073200314
120000,1.3396219,0.002999993,-1.176760001880466,186.72,-0.5487765,-1.1767600175738335
130000,1.3238548,0.0029999923,-1.346695656512368,206.56521739130434,-0.54835767,-1.3466956730749782
140000,1.3159969,0.0029999914,-1.5107600067325013,220.6,-0.52846545,-1.5107600137177442
150000,1.3114284,0.0029999912,-1.1788065235085252,221.41304347826087,-0.5338383,-1.1788065243593377
160000,1.3046702,0.002999991,-1.1948875020048946,222.525,-0.49917397,-1.1948875067406335
170000,1.2949423,0.0029999905,-1.256306669563249,229.0,-0.4876007,-1.259340918220749
180000,1.2893126,0.0029999898,-1.1691222237511991,244.83333333333334,-0.4605041,-1.1678702791498319
190000,1.2837505,0.0029999886,-1.1485783796182463,240.51351351351352,-0.42094368,-1.1485783785732615
200000,1.2702674,0.002999988,-1.1809956538880058,243.02173913043478,-0.46003807,-1.180995664751643
210000,1.2573981,0.0029999877,-1.4091333383936824,258.3611111111111,-0.43769628,-1.4142514382222933
220000,1.2493312,0.0029999872,-1.1857393955759825,279.42424242424244,-0.4436914,-1.1870411821394502
230000,1.239847,0.002999987,-1.1604342117580497,285.8421052631579,-0.4928172,-1.1604342231968123
240000,1.2281914,0.0029999865,-1.1294962970412732,291.8888888888889,-0.41813606,-1.1294963028523382
250000,1.2128698,0.0029999851,-1.2385806474260115,318.80645161290323,-0.39726838,-1.2385806622163904
260000,1.1969283,0.0029999842,-1.2416971451282734,328.51428571428573,-0.4418208,-1.2416971544069904
270000,1.1905929,0.002999984,-1.1128777781988093,310.4074074074074,-0.35878253,-1.112877772362144
280000,1.1791908,0.0029999835,-1.1260878793755458,317.7878787878788,-0.41088563,-1.1260878870009698
290000,1.1667233,0.0029999833,-1.2148307710639739,337.5,-0.3791098,-1.2148307924911093
300000,1.1615239,0.0029999823,-1.278493551198241,331.0967741935484,-0.36775267,-1.2784935608656416
310000,1.157825,0.0029999819,-1.1810428584503825,342.64285714285717,-0.36218345,-1.181042875728703
320000,1.1467657,0.002999981,-1.2725107170120151,329.82142857142856,-0.35981306,-1.2725107276845458
