Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
5340000,0.52216715,0.0029996797,-0.1875,65.45833333333333,2.0185466,-0.21739130434782608
5350000,0.52550685,0.0029996794,0.6964285714285714,100.66666666666667,1.9423372,0.6941176470588235
5360000,0.5418196,0.0029996785,0.44036697247706424,93.01834862385321,1.6692785,0.44036697247706424
5370000,0.5591136,0.002999678,1.1102941176470589,125.86764705882354,1.6311786,1.1102941176470589
5380000,0.56645733,0.0029996778,2.4651162790697674,184.51162790697674,1.6688496,2.4047619047619047
5390000,0.5756585,0.0029996769,4.361111111111111,282.94444444444446,1.6410828,4.378378378378378
5400000,0.57785785,0.0029996764,3.3214285714285716,230.66666666666666,1.4387931,3.3214285714285716
5410000,0.57945395,0.0029996757,3.019607843137255,211.07843137254903,1.3873202,3.019607843137255
5420000,0.5858629,0.0029996748,2.450980392156863,187.94117647058823,1.2713422,2.41
5430000,0.5881042,0.0029996745,2.1160714285714284,178.44642857142858,1.1917078,2.1578947368421053
5440000,0.5932406,0.002999674,1.8018867924528301,171.43396226415095,1.1324532,1.8018867924528301
5450000,0.6044131,0.0029996731,2.768292682926829,211.8780487804878,1.1106051,2.768292682926829
5460000,0.610314,0.0029996727,4.034883720930233,254.95348837209303,1.1390474,4.034883720930233
5470000,0.6120205,0.0029996724,3.2613636363636362,229.4318181818182,1.0774629,3.2613636363636362
5480000,0.60917574,0.0029996715,3.282051282051282,230.35897435897436,1.1905051,3.236842105263158
5490000,0.60838693,0.002999671,2.826530612244898,211.9387755102041,0.9997155,2.87
5500000,0.6075774,0.0029996706,3.3095238095238093,225.45238095238096,1.0621632,3.402439024390244
5510000,0.60842896,0.0029996696,4.409090909090909,279.93939393939394,1.1174169,4.264705882352941
5520000,0.6120175,0.002999669,3.1447368421052633,232.31578947368422,1.096999,3.1447368421052633
5530000,0.6155865,0.0029996685,3.977777777777778,263.1777777777778,1.0390289,3.977777777777778
5540000,0.6202034,0.002999668,3.6285714285714286,250.85714285714286,1.0936656,3.6285714285714286
5550000,0.62663925,0.002999667,4.944444444444445,297.0740740740741,1.1123229,4.944444444444445
5560000,0.6272854,0.002999667,5.196428571428571,299.7142857142857,1.078331,5.196428571428571
5570000,0.62912375,0.0029996661,5.611111111111111,344.3888888888889,1.0835776,5.611111111111111
5580000,0.6321666,0.0029996654,3.657142857142857,261.0,1.1234546,3.657142857142857
5590000,0.63453305,0.002999665,5.810344827586207,355.0344827586207,1.2169623,5.810344827586207
